# To display the perf.data header info, please use --header/--header-only options.
#
# dso: main
#
# Total Lost Samples: 0
#
# Samples: 119K of event 'cycles:u'
# Event count (approx.): 109176193282
#
# Overhead  Command  Symbol                                                                                                                                                                                                       
# ........  .......  .............................................................................................................................................................................................................
#
     0.01%  main     [.] __gnu_cxx::__normal_iterator<LLcol const*, std::vector<LLcol, std::allocator<LLcol> > >::base
     0.01%  main     [.] std::allocator<LLord>::~allocator
     0.01%  main     [.] __gnu_cxx::__alloc_traits<std::allocator<LLord> >::_S_select_on_copy
     0.01%  main     [.] std::distance<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > >
     0.01%  main     [.] std::allocator<LLcol>::~allocator
     0.01%  main     [.] __gnu_cxx::new_allocator<int>::deallocate
     0.01%  main     [.] __gnu_cxx::new_allocator<LLord>::allocate
     0.01%  main     [.] std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<LLcol const*, std::vector<LLcol, std::allocator<LLcol> > >, LLcol*, LLcol>
     0.01%  main     [.] __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::__normal_iterator
     0.01%  main     [.] std::_Vector_base<LLord, std::allocator<LLord> >::_M_allocate
     0.01%  main     [.] std::vector<int, std::allocator<int> >::end
     0.01%  main     [.] std::vector<LLord, std::allocator<LLord> >::end
     0.01%  main     [.] std::allocator<LLord>::allocator
     0.01%  main     [.] std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>
     0.01%  main     [.] std::vector<LLcol, std::allocator<LLcol> >::~vector
     0.01%  main     [.] __gnu_cxx::__alloc_traits<std::allocator<LLcol> >::_S_select_on_copy
     0.01%  main     [.] std::__introsort_loop<__gnu_cxx::__normal_iterator<LLcol*, std::vector<LLcol, std::allocator<LLcol> > >, long, bool (*)(LLcol const&, LLcol const&)>
     0.01%  main     [.] std::allocator_traits<std::allocator<LLcol> >::_S_select<std::allocator<LLcol> const>
     0.01%  main     [.] std::allocator_traits<std::allocator<LLord> >::_S_select<std::allocator<LLord> const>
     0.01%  main     [.] std::_Vector_base<int, std::allocator<int> >::_Vector_base
     0.01%  main     [.] std::vector<LLcol, std::allocator<LLcol> >::capacity
     0.01%  main     [.] std::allocator_traits<std::allocator<LLord> >::select_on_container_copy_construction
     0.01%  main     [.] std::__advance<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, long>
     0.01%  main     [.] std::allocator<int>::~allocator
     0.01%  main     [.] __gnu_cxx::__alloc_traits<std::allocator<int> >::_S_select_on_copy
     0.01%  main     [.] std::log
     0.01%  main     [.] std::forward<double const&>
     0.01%  main     [.] std::_Iter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, false>::_S_base
     0.01%  main     [.] std::__fill_n_a<int*, unsigned long, int>
